index,id,datetime,time,reading,measure,port
1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,758.0,CO2,COM4

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,25.9,Humidity,COM4

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,26.6,Temperature,COM4

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,0.64,NH3,COM5

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,3.96,CO,COM5

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,0.25,NO2,COM5

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,522.40,C3H8,COM5

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,8.97,C4H10,COM5

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,434.05,CH4,COM5

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,0.63,H2,COM5

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,1.42,C2H5OH,COM5

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,19.98,O2,COM6

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,980.0,Pressure,COM6

1,pine chip NO3 humid,03/20/2018 12:33:40,0.000,29.1,uvTemperature,COM6

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,740.0,CO2,COM4

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,25.8,Humidity,COM4

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,26.6,Temperature,COM4

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,0.64,NH3,COM5

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,3.96,CO,COM5

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,0.25,NO2,COM5

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,516.68,C3H8,COM5

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,366.17,C4H10,COM5

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,434.05,CH4,COM5

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,0.63,H2,COM5

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,1.42,C2H5OH,COM5

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,19.95,O2,COM6

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,980.0,Pressure,COM6

2,pine chip NO3 humid,03/20/2018 12:34:10,30.000,28.9,uvTemperature,COM6

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,743.0,CO2,COM4

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,28.2,Humidity,COM4

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,26.6,Temperature,COM4

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,0.64,NH3,COM5

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,4.00,CO,COM5

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,0.24,NO2,COM5

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,522.40,C3H8,COM5

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,369.61,C4H10,COM5

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,450.79,CH4,COM5

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,0.64,H2,COM5

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,1.44,C2H5OH,COM5

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,19.95,O2,COM6

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,980.0,Pressure,COM6

3,pine chip NO3 humid,03/20/2018 12:34:40,60.000,29.1,uvTemperature,COM6

4,pine chip NO3 humid,03/20/2018 12:35:10,90.000,783.0,CO2,COM4

4,pine chip NO3 humid,03/20/2018 12:35:10,90.000,32.6,Humidity,COM4

4,pine chip NO3 humid,03/20/2018 12:35:10,90.000,26.7,Temperature,COM4

